wojewodztwo;powiat_miasto;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt
warmiñsko-mazurskie;szczycieñski;19;2.74;;;;22;21;573;62;21;39;2;t2817
warmiñsko-mazurskie;go³dapski;2;0.75;;;;5;14;188;6;2;4;0;t2818
warmiñsko-mazurskie;wêgorzewski;23;10.20;;;;11;6;185;56;23;33;0;t2819
warmiñsko-mazurskie;Elbl¹g;39;3.27;;;;52;120;1278;114;41;69;4;t2861
warmiñsko-mazurskie;Olsztyn;144;8.38;;;;131;120;1730;359;151;199;9;t2862
wielkopolskie;chodzieski;8;1.70;;;;2;22;168;24;8;16;0;t3001
wielkopolskie;czarnkowsko-trzcianecki;48;5.53;;;;29;53;741;83;51;31;1;t3002
wielkopolskie;gnieŸnieñski;43;2.96;3;3;;35;80;756;110;46;63;1;t3003
wielkopolskie;gostyñski;12;1.58;;;;5;32;231;32;13;19;0;t3004
wielkopolskie;grodziski;6;1.16;1;;1;2;9;311;20;7;12;1;t3005
wielkopolskie;jarociñski;13;1.82;1;;1;2;8;300;41;13;28;0;t3006
wielkopolskie;kaliski;7;0.84;;;;8;19;292;48;11;37;0;t3007
wielkopolskie;kêpiñski;2;0.35;;;;2;7;294;25;2;23;0;t3008
wielkopolskie;kolski;7;0.81;2;1;1;11;14;252;32;8;24;0;t3009
wielkopolskie;koniñski;20;1.54;;;;24;33;573;45;21;23;1;t3010
wielkopolskie;koœciañski;15;1.90;;;;9;19;447;59;19;38;2;t3011
wielkopolskie;krotoszyñski;14;1.81;1;1;;7;12;294;47;15;32;0;t3012
wielkopolskie;leszczyñski;14;2.43;;;;15;22;261;32;15;16;1;t3013
wielkopolskie;miêdzychodzki;9;2.45;2;1;1;3;12;247;51;9;42;0;t3014
wielkopolskie;nowotomyski;16;2.11;;;;14;13;399;49;17;29;3;t3015
wielkopolskie;obornicki;31;5.18;;;;13;24;527;57;31;25;1;t3016
wielkopolskie;ostrowski;18;1.11;;;;20;43;442;96;20;74;2;t3017
wielkopolskie;ostrzeszowski;2;0.36;1;;1;5;14;196;42;3;39;0;t3018
wielkopolskie;pilski;55;4.05;2;;2;14;68;883;169;60;107;2;t3019
wielkopolskie;pleszewski;12;1.91;;;;5;8;184;36;16;20;0;t3020
wielkopolskie;poznañski;180;4.46;7;2;5;176;266;3123;626;201;409;16;t3021
wielkopolskie;rawicki;13;2.16;1;;1;12;16;182;40;14;25;1;t3022
wielkopolskie;s³upecki;42;7.12;2;;2;29;13;528;70;43;25;2;t3023
wielkopolskie;szamotulski;44;4.80;1;;1;11;71;899;94;45;48;1;t3024
wielkopolskie;œredzki;21;3.56;;;;6;26;309;60;21;36;3;t3025
wielkopolskie;œremski;7;1.14;;;;9;35;305;30;8;22;0;t3026
wielkopolskie;turecki;7;0.84;1;;1;2;22;329;170;8;155;7;t3027
wielkopolskie;w¹growiecki;12;1.71;;;;6;19;271;28;14;13;1;t3028
wielkopolskie;wolsztyñski;11;1.91;;;;4;9;304;40;11;29;0;t3029
wielkopolskie;wrzesiñski;45;5.76;6;5;1;29;41;783;90;47;43;0;t3030
wielkopolskie;z³otowski;27;3.90;;;;16;56;596;78;28;48;2;t3031
wielkopolskie;Kalisz;21;2.11;;;;16;32;304;92;25;67;0;t3061
wielkopolskie;Konin;22;3.01;;;;11;16;387;53;23;28;2;t3062
wielkopolskie;Leszno;13;2.05;;;;4;13;264;37;15;19;3;t3063
wielkopolskie;Poznañ;228;4.27;12;5;7;202;333;3507;1046;253;778;15;t3064
zachodniopomorskie;bia³ogardzki;28;5.90;1;;1;5;29;460;45;31;13;1;t3201
zachodniopomorskie;choszczeñski;23;4.79;1;;1;14;18;415;57;25;31;1;t3202
zachodniopomorskie;drawski;23;4.05;3;;3;16;34;627;66;24;40;2;t3203
zachodniopomorskie;goleniowski;46;5.58;4;;4;14;75;954;144;48;95;1;t3204
zachodniopomorskie;gryficki;30;5.00;3;;3;12;39;522;78;34;42;2;t3205
zachodniopomorskie;gryfiñski;73;8.95;;;;50;64;1001;148;73;71;4;t3206
zachodniopomorskie;kamieñski;36;7.68;1;;1;22;28;401;73;38;33;2;t3207
zachodniopomorskie;ko³obrzeski;39;4.91;;;;12;29;468;74;39;34;1;t3208
zachodniopomorskie;koszaliñski;34;5.12;;;;22;31;456;124;37;80;7;t3209
zachodniopomorskie;myœliborski;10;1.53;;;;8;29;455;48;13;35;0;t3210
zachodniopomorskie;policki;74;9.11;;;;35;77;875;159;76;80;3;t3211
zachodniopomorskie;pyrzycki;18;4.59;;;;19;17;419;63;21;40;2;t3212
zachodniopomorskie;s³awieñski;30;5.36;;;;8;31;437;62;31;27;4;t3213
zachodniopomorskie;stargardzki;72;5.99;4;;4;63;90;989;145;74;71;0;t3214
zachodniopomorskie;szczecinecki;40;5.17;2;;2;33;58;480;101;40;60;1;t3215
zachodniopomorskie;œwidwiñski;12;2.58;1;;1;18;18;269;42;12;30;0;t3216
zachodniopomorskie;wa³ecki;16;3.02;4;;4;17;38;549;62;16;45;1;t3217
zachodniopomorskie;³obeski;14;3.83;;;;10;31;285;31;16;15;0;t3218
zachodniopomorskie;Koszalin;67;6.27;1;;1;57;68;841;245;71;170;4;t3261
zachodniopomorskie;Szczecin;275;6.86;2;;2;182;369;3520;757;294;447;16;t3262
zachodniopomorskie;Œwinoujœcie;30;7.34;;;;20;9;380;44;31;12;1;t3263
