wojewodztwo;powiat_miasto;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Cały kraj;Cały kraj;12363;3.22;472;104;368;18698;174083;52412;13516;37728;1168;t0000;2020-12-22
dolnośląskie;bolesławiecki;30;3.33;4;0;4;60;375;144;41;99;4;t0201;2020-12-22
dolnośląskie;dzierżoniowski;15;1.49;2;0;2;23;213;54;15;38;1;t0202;2020-12-22
dolnośląskie;głogowski;21;2.36;0;0;0;35;292;76;23;52;1;t0203;2020-12-22
dolnośląskie;górowski;8;2.31;1;0;1;8;99;26;8;18;0;t0204;2020-12-22
dolnośląskie;jaworski;4;0.8;0;0;0;18;124;24;4;19;1;t0205;2020-12-22
dolnośląskie;jeleniogórski;9;1.42;0;0;0;22;212;70;13;56;1;t0206;2020-12-22
dolnośląskie;kamiennogórski;5;1.16;0;0;0;14;119;58;5;51;2;t0207;2020-12-22
dolnośląskie;kłodzki;14;0.89;1;0;1;34;371;128;16;112;0;t0208;2020-12-22
dolnośląskie;legnicki;11;1.99;1;1;0;7;169;46;11;32;3;t0209;2020-12-22
dolnośląskie;lubański;12;2.22;0;0;0;12;250;61;14;41;6;t0210;2020-12-22
dolnośląskie;lubiński;15;1.41;2;0;2;20;400;120;18;101;1;t0211;2020-12-22
dolnośląskie;lwówecki;9;1.97;0;0;0;23;179;43;11;31;1;t0212;2020-12-22
dolnośląskie;milicki;6;1.63;0;0;0;19;117;19;6;12;1;t0213;2020-12-22
dolnośląskie;oleśnicki;32;2.98;1;0;1;53;450;97;36;60;1;t0214;2020-12-22
dolnośląskie;oławski;18;2.34;0;0;0;34;392;83;22;61;0;t0215;2020-12-22
dolnośląskie;polkowicki;7;1.11;0;0;0;15;158;50;8;41;1;t0216;2020-12-22
dolnośląskie;strzeliński;16;3.68;0;0;0;15;131;41;16;25;0;t0217;2020-12-22
dolnośląskie;średzki;13;2.35;0;0;0;16;256;65;16;48;1;t0218;2020-12-22
dolnośląskie;świdnicki;24;1.53;6;0;6;48;754;147;26;120;1;t0219;2020-12-22
dolnośląskie;trzebnicki;15;1.76;2;0;2;13;389;83;15;64;4;t0220;2020-12-22
dolnośląskie;wałbrzyski;5;0.9;0;0;0;22;297;62;7;55;0;t0221;2020-12-22
dolnośląskie;wołowski;9;1.93;0;0;0;13;197;33;9;24;0;t0222;2020-12-22
dolnośląskie;wrocławski;28;1.82;2;0;2;61;886;200;29;167;4;t0223;2020-12-22
dolnośląskie;ząbkowicki;21;3.26;1;1;0;29;182;64;24;40;0;t0224;2020-12-22
dolnośląskie;zgorzelecki;10;1.13;0;0;0;33;427;48;11;35;2;t0225;2020-12-22
dolnośląskie;złotoryjski;3;0.69;0;0;0;12;265;22;4;17;1;t0226;2020-12-22
dolnośląskie;Jelenia Góra;18;2.28;0;0;0;25;299;123;20;101;2;t0261;2020-12-22
dolnośląskie;Legnica;12;1.21;2;1;1;42;430;92;14;75;3;t0262;2020-12-22
dolnośląskie;Wrocław;193;3.0;11;0;11;341;2797;1283;209;1046;28;t0264;2020-12-22
dolnośląskie;Wałbrzych;18;1.63;0;0;0;42;401;250;22;227;1;t0265;2020-12-22
kujawsko-pomorskie;aleksandrowski;10;1.82;1;0;1;36;191;41;10;31;0;t0401;2020-12-22
kujawsko-pomorskie;brodnicki;36;4.55;0;0;0;44;475;134;43;89;2;t0402;2020-12-22
kujawsko-pomorskie;bydgoski;82;6.86;4;0;4;139;1210;256;86;161;9;t0403;2020-12-22
kujawsko-pomorskie;chełmiński;32;6.18;1;0;1;42;418;93;32;59;2;t0404;2020-12-22
kujawsko-pomorskie;golubsko-dobrzyński;19;4.23;0;0;0;18;241;35;20;14;1;t0405;2020-12-22
kujawsko-pomorskie;grudziądzki;28;6.96;0;0;0;23;372;90;30;57;3;t0406;2020-12-22
kujawsko-pomorskie;inowrocławski;66;4.14;7;2;5;143;970;218;71;128;19;t0407;2020-12-22
kujawsko-pomorskie;lipnowski;14;2.13;0;0;0;11;386;67;15;51;1;t0408;2020-12-22
kujawsko-pomorskie;mogileński;28;6.15;0;0;0;24;213;52;31;19;2;t0409;2020-12-22
kujawsko-pomorskie;nakielski;48;5.57;1;0;1;70;798;141;48;88;5;t0410;2020-12-22
kujawsko-pomorskie;radziejowski;17;4.23;1;0;1;29;193;57;19;36;2;t0411;2020-12-22
kujawsko-pomorskie;rypiński;5;1.15;1;0;1;20;169;27;5;22;0;t0412;2020-12-22
kujawsko-pomorskie;sępoleński;24;5.86;0;0;0;33;317;70;29;38;3;t0413;2020-12-22
kujawsko-pomorskie;świecki;63;6.37;0;0;0;61;830;150;64;82;4;t0414;2020-12-22
kujawsko-pomorskie;toruński;82;7.53;0;0;0;134;1086;224;85;133;6;t0415;2020-12-22
kujawsko-pomorskie;tucholski;10;2.07;0;0;0;37;404;56;11;45;0;t0416;2020-12-22
